Vendor;Codec;Revisions and layouts;MinKernel;MaxKernel
AnalogDevices;AD1984;0x100400, layout 11;13 (10.9);—
AnalogDevices;AD1984A;0x100400, layout 11, 13, 44;13 (10.9);—
AnalogDevices;AD1988A;layout 12;13 (10.9);—
AnalogDevices;AD1988B;layout 5, 7, 12;13 (10.9);—
AnalogDevices;AD2000B;layout 5, 7;13 (10.9);—
Realtek;ALC1150;0x100001, layout 1, 2, 3, 5, 7, 99;12 (10.8);—
Realtek;ALC1220;0x100101, 0x100003, layout 1, 2, 3, 5, 7, 11, 13, 15, 16, 17, 20, 21, 25, 27, 28, 29, 30, 34, 35, 98, 99, 100;12 (10.8);—
Realtek;ALC215;0x100002, layout 18;13 (10.9);—
Realtek;ALC221;0x100003, 0x100103, layout 11, 15, 88;12 (10.8);—
Realtek;ALC222;0x100001, layout 11, 12;12 (10.8);—
Realtek;ALC225/ALC3253;layout 28, 30, 33, 90;13 (10.9);—
Realtek;ALC230;layout 13, 20;13 (10.9);—
Realtek;ALC233/ALC3236;0x100003, layout 3, 4, 5, 13, 21, 27, 28, 29, 32, 33;13 (10.9);—
Realtek;ALC235;layout 3, 8, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 24, 28, 29, 33, 35, 36, 37, 72, 88, 99;13 (10.9);—
Realtek;ALC236;0x100001, 0x100002, layout 3, 11, 12, 13, 14, 15, 16, 17, 18, 23, 36, 54, 55, 99;13 (10.9);—
Realtek;ALC245;layout 11, 12, 13;13 (10.9);—
Realtek;ALC255/ALC3234;layout 3, 11, 12, 13, 15, 17, 18, 20, 21, 22, 23, 27, 28, 29, 30, 31, 37, 66, 69, 71, 82, 86, 96, 99, 100, 255;13 (10.9);—
Realtek;ALC256/ALC3246;0x100002, layout 5, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 23, 24, 28, 33, 56, 57, 66, 67, 68, 69, 70, 76, 77, 88, 95, 97, 99;13 (10.9);—
Realtek;ALC257;0x100001, layout 11, 18, 86, 96, 97, 99, 100;13 (10.9);—
Realtek;ALC260;layout 11, 12;13 (10.9);—
Realtek;ALC262;0x100100, 0x100302, 0x100202, layout 7, 11, 12, 13, 28, 66;12 (10.8);—
Realtek;ALC268;layout 3, 11;9 (10.5);—
Realtek;ALC269/ALC271X;0x100203, 0x100004, 0x100202, 0x100100, layout 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 39, 40, 44, 45, 47, 55, 58, 66, 69, 76, 77, 88, 91, 93, 99, 100, 111, 127, 128, 188;12 (10.8);—
Realtek;ALC270;0x100100, layout 3, 4, 21, 27, 28;13 (10.9);—
Realtek;ALC272;0x100001, 0x100002, layout 3, 12, 18, 21;13 (10.9);—
Realtek;ALC274;0x100004, layout 21, 28, 35, 39;13 (10.9);—
Realtek;ALC275;0x100008, 0x100005, layout 3, 13, 28;13 (10.9);—
Realtek;ALC280;layout 3, 4, 11, 13, 15, 16, 17, 18, 21;13 (10.9);—
Realtek;ALC282;0x100003, layout 3, 4, 13, 21, 22, 27, 28, 29, 30, 41, 43, 51, 69, 76, 86, 127;12 (10.8);—
Realtek;ALC283;layout 1, 3, 11, 12, 13, 15, 44, 45, 66, 88;13 (10.9);—
Realtek;ALC284;layout 3;13 (10.9);—
Realtek;ALC285;layout 11, 21, 31, 52, 61, 66, 71, 88;13 (10.9);—
Realtek;ALC286;0x100002, 0x100003, layout 3, 11;13 (10.9);—
Realtek;ALC287;layout 11, 21;13 (10.9);—
Realtek;ALC288;layout 3, 13, 23;13 (10.9);—
Realtek;ALC289;layout 11, 15, 23, 87, 93, 99;13 (10.9);—
Realtek;ALC290/ALC3241;layout 3, 4, 10, 15, 28;13 (10.9);—
Realtek;ALC292;layout 12, 15, 18, 28, 32, 55, 59;13 (10.9);—
Realtek;ALC293;layout 11, 28, 29, 30, 31;13 (10.9);—
Realtek;ALC294;layout 11, 12, 13, 15, 21, 22, 28, 44, 66, 99;13 (10.9);—
Realtek;ALC295;layout 1, 3, 11, 13, 14, 15, 21, 22, 23, 24, 28, 77;13 (10.9);—
Realtek;ALC298;0x100101, 0x100103, layout 3, 11, 13, 16, 21, 22, 28, 29, 30, 32, 33, 47, 66, 72, 99;13 (10.9);—
Realtek;ALC299;0x100002, layout 21, 22;13 (10.9);—
Realtek;ALC623;0x100000, layout 13, 21;13 (10.9);—
Realtek;ALC662;0x100101, 0x100300, layout 5, 7, 11, 12, 13, 15, 16, 17, 18, 19, 66;13 (10.9);—
Realtek;ALC663;0x100001, 0x100002, layout 3, 4, 15, 28, 99;13 (10.9);—
Realtek;ALC665;layout 12, 13;13 (10.9);—
Realtek;ALC668;0x100003, layout 3, 20, 27, 28, 29;13 (10.9);—
Realtek;ALC670;0x100002, layout 12;13 (10.9);—
Realtek;ALC671;layout 12, 15, 16, 88;13 (10.9);—
Realtek;ALC700;layout 11;13 (10.9);—
Realtek;ALC882;layout 5, 7;13 (10.9);—
Realtek;ALC883;0x100002, layout 7, 20;13 (10.9);—
Realtek;ALC885;0x100101, 0x100103, layout 1, 12, 13, 15, 48, 50, 53, 56, 58, 60, 62, 63, 64, 65, 67, 70, 73, 74;13 (10.9);—
Realtek;ALC887;0x100202, 0x100302, layout 1, 2, 3, 5, 7, 11, 12, 13, 17, 18, 20, 33, 40, 50, 52, 53, 87, 99;13 (10.9);—
Realtek;ALC888/ALC1200;0x100001, 0x100101, 0x100202, 0x100302, layout 1, 2, 3, 4, 5, 7, 11, 27, 28, 29;13 (10.9);—
Realtek;ALC889;0x100004, layout 1, 2, 3, 11, 12;13 (10.9);—
Realtek;ALC891/ALC867;0x100002, layout 11, 13;12 (10.8);—
Realtek;ALC892;0x100302, layout 1, 2, 3, 4, 5, 7, 12, 15, 16, 17, 18, 20, 22, 23, 28, 31, 32, 90, 92, 97, 99, 100;13 (10.9);—
Realtek;ALC897;0x100402, 0x100500, layout 11, 12, 13, 21, 23, 66, 69, 77;13 (10.9);—
Realtek;ALC898/ALC899;0x100003, layout 1, 2, 3, 5, 7, 11, 13, 65, 66, 98, 99, 101;13 (10.9);—
Realtek;ALCS1200A;0x100001, layout 1, 2, 3, 7, 11, 49, 50, 51, 52, 69;12 (10.8);—
Realtek;ALCS1220A;0x100101, 0x100003, layout 1, 2, 3, 5, 7, 8, 11, 13, 15, 20, 21;12 (10.8);—
Creative;CA0132;0x100918, layout 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 99;13 (10.9);—
CirrusLogic;CS4206;0x100103, 0x100301, 0x100302, layout 1, 3, 9, 11, 13, 18, 24, 28, 29, 31, 32, 33, 35, 39, 61, 71, 75, 76, 77, 78, 79, 81, 84, 91, 98, 99;—;—
CirrusLogic;CS4210;0x100101, layout 13;13 (10.9);—
CirrusLogic;CS4213;0x100100, layout 28;13 (10.9);—
Conexant;CX20561;0x100000, layout 11;13 (10.9);—
Conexant;CX20583;layout 3;13 (10.9);—
Conexant;CX20585;layout 3, 13;13 (10.9);—
Conexant;CX20588;layout 3;13 (10.9);—
Conexant;CX20590;0x100000, 0x100002, 0x100003, layout 3, 12, 13, 14, 28;13 (10.9);—
Conexant;CX20632;0x100100, layout 20, 23, 28;13 (10.9);—
Conexant;CX20641;layout 11, 13;13 (10.9);—
Conexant;CX20642;layout 11, 13;13 (10.9);—
Conexant;CX20722;layout 3;13 (10.9);—
Conexant;CX20724;layout 3, 13;13 (10.9);—
Conexant;CX20751/CX20752;0x100100, 0x100001, layout 3, 21, 28;13 (10.9);—
Conexant;CX20753/CX20754;layout 3, 14, 15, 21;13 (10.9);—
Conexant;CX20755;layout 3;13 (10.9);—
Conexant;CX20756;layout 3, 13;13 (10.9);—
Conexant;CX20757;layout 3, 28;13 (10.9);—
Conexant;CX8050;layout 3, 13;13 (10.9);—
Conexant;CX8070/CX11880;layout 15, 21;13 (10.9);—
Conexant;CX8150;layout 21, 22;13 (10.9);—
Conexant;CX8200;layout 3, 15, 21, 23, 80;13 (10.9);—
Conexant;CX8400;layout 12, 13;13 (10.9);—
IDT;IDT92HD66C3/65;layout 3;13 (10.9);—
IDT;IDT92HD71B7X;layout 3;13 (10.9);—
IDT;IDT92HD73C1X5;layout 19, 21;13 (10.9);—
IDT;IDT92HD73E1X5;layout 15;13 (10.9);—
IDT;IDT92HD75B2X5;layout 3;13 (10.9);—
IDT;IDT92HD75B3X5;layout 3;13 (10.9);—
IDT;IDT92HD81B1C5;layout 3, 11;13 (10.9);—
IDT;IDT92HD81B1X5;layout 3, 11, 12, 20, 21, 28;13 (10.9);—
IDT;IDT92HD87B1;layout 3;13 (10.9);—
IDT;IDT92HD87B1/3;0x100205, layout 12, 13;13 (10.9);—
IDT;IDT92HD87B2/4;layout 13;13 (10.9);—
IDT;IDT92HD90BXX;layout 3, 12;13 (10.9);—
IDT;IDT92HD91BXX;0x100102, 0x100303, layout 3, 12, 13, 33, 84;13 (10.9);—
IDT;IDT92HD93BXX;0x100203, layout 12;13 (10.9);—
IDT;IDT92HD95;layout 11, 12, 14;13 (10.9);—
IDT;IDT92HD99BXX;layout 3;13 (10.9);—
SigmaTel;STAC9200;0x102201, layout 11;8 (10.4);—
SigmaTel;STAC9205;0x100204, layout 11;8 (10.4);—
SigmaTel;STAC9872AK;0x100201, layout 12;12 (10.8);—
VIA;VT1705;0x100000, layout 21;13 (10.9);—
VIA;VT1802;0x100000, layout 3, 33, 65;13 (10.9);—
VIA;VT2020/VT2021;0x100100, layout 5, 7, 9, 13;13 (10.9);—
